pc_time_s,time_us,sensor,sweep,basestation,polynomial,lfsr_location
1777911375.9538758,210635792,2,0,4,9,30763
1777911375.9557514,210635792,2,1,4,9,73939
1777911375.9573245,210635792,2,0,10,20,38817
1777911375.9586687,210635792,2,1,10,20,79702
1777911376.0548534,210736933,2,0,4,9,30763
1777911376.0567093,210736933,2,1,4,9,73939
1777911376.058329,210736933,2,0,10,20,38817
1777911376.0597186,210736933,2,1,10,20,79702
1777911376.155951,210837917,2,0,4,9,30763
1777911376.1578496,210837917,2,1,4,9,73939
1777911376.15988,210837917,2,0,10,20,38817
1777911376.162296,210837917,2,1,10,20,79702
1777911376.2571366,210939057,2,0,4,9,30763
1777911376.2589571,210939057,2,1,4,9,73939
1777911376.2609358,210939057,2,0,10,20,38817
1777911376.2634618,210939057,2,1,10,20,79702
1777911376.3582692,211040194,2,0,4,9,30763
1777911376.360203,211040194,2,1,4,9,73939
1777911376.362737,211040194,2,0,10,20,38817
1777911376.3645697,211040194,2,1,10,20,79702
1777911376.459503,211141222,2,0,4,9,30763
1777911376.4618835,211141222,2,1,4,9,73939
1777911376.4634063,211141222,2,0,10,20,38817
1777911376.4654255,211141222,2,1,10,20,79702
1777911376.5600278,211241574,2,0,4,9,30763
1777911376.56273,211241574,2,1,4,9,73939
1777911376.564365,211241574,2,0,10,20,38817
1777911376.56577,211241574,2,1,10,20,79702
1777911376.6601229,211342586,2,0,4,9,30763
1777911376.6626441,211342586,2,1,4,9,73939
1777911376.6642902,211342586,2,0,10,20,38817
1777911376.666616,211342586,2,1,10,20,79702
1777911376.7607083,211443141,2,0,4,9,30763
1777911376.7635908,211443141,2,1,4,9,73939
1777911376.7653527,211443141,2,0,10,20,38817
1777911376.7666755,211443141,2,1,10,20,79702
1777911376.861878,211543744,2,0,4,9,30763
1777911376.8641229,211543744,2,1,4,9,73939
1777911376.8659186,211543744,2,0,10,20,38817
1777911376.8676004,211543744,2,1,10,20,79702
1777911376.962248,211644012,2,0,4,9,30763
1777911376.9645507,211644012,2,1,4,9,73939
1777911376.966627,211644012,2,0,10,20,38817
1777911376.9687548,211644012,2,1,10,20,79702
1777911377.0624661,211744503,2,0,4,9,30763
1777911377.0638525,211744503,2,1,4,9,73939
1777911377.0660677,211744503,2,0,10,20,38817
1777911377.0676968,211744503,2,1,10,20,79702
1777911377.1623456,211844916,2,0,4,9,30763
1777911377.1631858,211844916,2,1,4,9,73939
1777911377.1644266,211844916,2,0,10,20,38817
1777911377.1654398,211844916,2,1,10,20,79702
1777911377.2629476,211945324,2,0,4,9,30763
1777911377.267002,211945324,2,1,4,9,73939
1777911377.2688198,211945324,2,0,10,20,38817
1777911377.270798,211945324,2,1,10,20,79702
1777911377.3632119,212045677,2,0,4,9,30763
1777911377.3650076,212045677,2,1,4,9,73939
1777911377.3663962,212045677,2,0,10,20,38817
1777911377.368585,212045677,2,1,10,20,79702
1777911377.463163,212146035,2,0,4,9,30763
1777911377.4655836,212146035,2,1,4,9,73939
1777911377.4674857,212146035,2,0,10,20,38817
1777911377.4694486,212146035,2,1,10,20,79702
1777911377.56389,212246395,2,0,4,9,30763
1777911377.5662253,212246395,2,1,4,9,73939
1777911377.5679789,212246395,2,0,10,20,38817
1777911377.5700653,212246395,2,1,10,20,79702
1777911377.6640356,212346755,2,0,4,9,30763
1777911377.6661239,212346755,2,1,4,9,73939
1777911377.668164,212346755,2,0,10,20,38817
1777911377.6700304,212346755,2,1,10,20,79702
1777911377.7642891,212447024,2,0,4,9,30763
1777911377.7666981,212447024,2,1,4,9,73939
1777911377.7690804,212447024,2,0,10,20,38817
1777911377.7705095,212447024,2,1,10,20,79702
1777911377.8647468,212547423,2,0,4,9,30763
1777911377.866802,212547423,2,1,4,9,73939
1777911377.8682423,212547423,2,0,10,20,38817
1777911377.870509,212547423,2,1,10,20,79702
1777911377.9656348,212647821,2,0,4,9,30763
1777911377.9682586,212647821,2,1,4,9,73939
1777911377.9707563,212647821,2,0,10,20,38817
1777911377.9722524,212647821,2,1,10,20,79702
1777911378.0661762,212748178,2,0,4,9,30763
1777911378.0702336,212748178,2,1,4,9,73939
1777911378.071874,212748178,2,0,10,20,38817
1777911378.0733278,212748178,2,1,10,20,79702
1777911378.166991,212848668,2,0,4,9,30763
1777911378.1696482,212848668,2,1,4,9,73939
1777911378.171329,212848668,2,0,10,20,38817
1777911378.1729722,212848668,2,1,10,20,79702
1777911378.267055,212949043,2,0,4,9,30763
1777911378.2704153,212949043,2,1,4,9,73939
1777911378.2724524,212949043,2,0,10,20,38817
1777911378.274088,212949043,2,1,10,20,79702
1777911378.3676128,213049405,2,0,4,9,30763
1777911378.370627,213049405,2,1,4,9,73939
1777911378.3738172,213049405,2,0,10,20,38817
1777911378.3760695,213049405,2,1,10,20,79702
1777911378.4677207,213149789,2,0,4,9,30763
1777911378.4702325,213149789,2,1,4,9,73939
1777911378.4723926,213149789,2,0,10,20,38817
1777911378.4746392,213149789,2,1,10,20,79702
1777911378.5679688,213250166,2,0,4,9,30763
1777911378.570179,213250166,2,1,4,9,73939
1777911378.572324,213250166,2,0,10,20,38817
1777911378.5738711,213250166,2,1,10,20,79702
1777911378.6684916,213350537,2,0,4,9,30763
1777911378.6711402,213350537,2,1,4,9,73939
1777911378.673399,213350537,2,0,10,20,38817
1777911378.6750958,213350537,2,1,10,20,79702
1777911378.7687147,213450936,2,0,4,9,30763
1777911378.770427,213450936,2,1,4,9,73939
1777911378.7719395,213450936,2,0,10,20,38817
1777911378.7735183,213450936,2,1,10,20,79702
1777911378.868965,213551305,2,0,4,9,30763
1777911378.8714678,213551305,2,1,4,9,73939
1777911378.8732426,213551305,2,0,10,20,38817
1777911378.8745153,213551305,2,1,10,20,79702
1777911378.97011,213651672,2,0,4,9,30763
1777911378.9729555,213651672,2,1,4,9,73939
1777911378.9748712,213651672,2,0,10,20,38817
1777911378.9764996,213651672,2,1,10,20,79702
1777911379.0702035,213752045,2,0,4,9,30763
1777911379.0720448,213752045,2,1,4,9,73939
1777911379.0734582,213752045,2,0,10,20,38817
1777911379.0753877,213752045,2,1,10,20,79702
1777911379.170641,213853077,2,0,4,9,30763
1777911379.1725361,213853077,2,1,4,9,73939
1777911379.1744325,213853077,2,0,10,20,38817
1777911379.17601,213853077,2,1,10,20,79702
1777911379.270925,213953652,2,0,4,9,30763
1777911379.2727654,213953652,2,1,4,9,73939
1777911379.2744384,213953652,2,0,10,20,38817
1777911379.2759016,213953652,2,1,10,20,79702
1777911379.3718126,214053994,2,0,4,9,30763
1777911379.374002,214053994,2,1,4,9,73939
1777911379.375292,214053994,2,0,10,20,38817
1777911379.377404,214053994,2,1,10,20,79702
1777911379.4717045,214154353,2,0,4,9,30763
1777911379.4737227,214154353,2,1,4,9,73939
1777911379.475689,214154353,2,0,10,20,38817
1777911379.4771063,214154353,2,1,10,20,79702
1777911379.5720341,214254720,2,0,4,9,30763
1777911379.5742376,214254720,2,1,4,9,73939
1777911379.5756562,214254720,2,0,10,20,38817
1777911379.5769012,214254720,2,1,10,20,79702
1777911379.6731472,214355072,2,0,4,9,30763
1777911379.6750124,214355072,2,1,4,9,73939
1777911379.6766295,214355072,2,0,10,20,38817
1777911379.6790938,214355072,2,1,10,20,79702
1777911379.7735958,214456114,2,0,4,9,30763
1777911379.7760274,214456114,2,1,4,9,73939
1777911379.7775514,214456114,2,0,10,20,38817
1777911379.780458,214456114,2,1,10,20,79702
1777911379.873427,214556654,2,0,4,9,30763
1777911379.874516,214556654,2,1,4,9,73939
1777911379.8756,214556654,2,0,10,20,38817
1777911379.8764696,214556654,2,1,10,20,79702
1777911379.9747777,214656958,2,0,4,9,30763
1777911379.9766753,214656958,2,1,4,9,73939
1777911379.978654,214656958,2,0,10,20,38817
1777911379.9801788,214656958,2,1,10,20,79702
1777911380.076088,214758003,2,0,4,9,30763
1777911380.0787952,214758003,2,1,4,9,73939
1777911380.0811398,214758003,2,0,10,20,38817
1777911380.082953,214758003,2,1,10,20,79702
1777911380.1765862,214858377,2,0,4,9,30763
1777911380.1793137,214858377,2,1,4,9,73939
1777911380.1810417,214858377,2,0,10,20,38817
1777911380.182476,214858377,2,1,10,20,79702
1777911380.2789562,214959416,2,0,4,9,30763
1777911380.2812057,214959416,2,1,4,9,73939
1777911380.2835743,214959416,2,0,10,20,38817
1777911380.285958,214959416,2,1,10,20,79702
1777911380.3789775,215060676,2,0,4,9,30763
1777911380.3813565,215060676,2,1,4,9,73939
1777911380.3832297,215060676,2,0,10,20,38817
1777911380.3852842,215060676,2,1,10,20,79702
1777911380.4801219,215161078,2,0,4,9,74224
1777911380.4826121,215161078,2,1,4,9,31363
1777911380.4856598,215161078,2,0,10,21,79994
1777911380.4879558,215161078,2,1,10,20,79702
1777911380.5796335,215262434,2,0,4,9,74224
1777911380.582027,215262434,2,1,4,9,31385
1777911380.5841424,215262434,2,0,10,21,80019
1777911380.5856977,215262434,2,1,10,21,39488
1777911380.6807368,215362836,2,0,4,9,74256
1777911380.6831226,215362836,2,1,4,9,31530
1777911380.6855009,215362836,2,0,10,21,79981
1777911380.6871185,215362836,2,1,10,20,39568
1777911380.7811632,215463302,2,0,4,8,74344
1777911380.784742,215463302,2,1,4,8,31655
1777911380.7861254,215463302,2,0,10,20,80076
1777911380.7874684,215463302,2,1,10,20,39665
1777911380.882301,215563783,2,0,4,8,74485
1777911380.8845208,215563783,2,1,4,9,31743
1777911380.8864267,215563783,2,0,10,20,80230
1777911380.8876991,215563783,2,1,10,20,39787
1777911380.981564,215664193,2,0,4,8,74643
1777911380.9834461,215664193,2,1,4,9,31858
1777911380.985308,215664193,2,0,10,20,80386
1777911380.9868073,215664193,2,1,10,20,39897
1777911381.0818608,215764626,2,0,4,9,74603
1777911381.0849526,215764626,2,1,4,9,31796
1777911381.0866072,215764626,2,0,10,20,80344
1777911381.087958,215764626,2,1,10,21,39841
1777911381.1827888,215865033,2,0,4,8,74422
1777911381.1842532,215865033,2,1,4,9,31622
1777911381.1858978,215865033,2,0,10,20,80153
1777911381.1872897,215865033,2,1,10,20,39688
1777911381.2833405,215965459,2,0,4,9,74253
1777911381.2856925,215965459,2,1,4,9,31523
1777911381.287936,215965459,2,0,10,20,80019
1777911381.2896595,215965459,2,1,10,20,39585
1777911381.3837743,216065919,2,0,4,8,74186
1777911381.3861687,216065919,2,1,4,8,31475
1777911381.387944,216065919,2,0,10,21,79979
1777911381.3892152,216065919,2,1,10,21,39540
1777911381.4839191,216166285,2,0,4,9,74171
1777911381.4858418,216166285,2,1,4,9,31465
1777911381.487325,216166285,2,0,10,21,79979
1777911381.4888759,216166285,2,1,10,21,39540
1777911381.5848665,216266757,2,0,4,9,74152
1777911381.58783,216266757,2,1,4,9,31447
1777911381.5900557,216266757,2,0,10,21,79979
1777911381.5917015,216266757,2,1,10,21,39526
1777911381.685056,216367178,2,0,4,9,74152
1777911381.687986,216367178,2,1,4,9,31447
1777911381.6896508,216367178,2,0,10,21,79979
1777911381.691165,216367178,2,1,10,21,39526
1777911381.7856483,216467547,2,0,4,9,74152
1777911381.7880702,216467547,2,1,4,9,31447
1777911381.7903838,216467547,2,0,10,21,79979
1777911381.7917855,216467547,2,1,10,21,39526
1777911381.8859315,216567908,2,0,4,9,74152
1777911381.8878858,216567908,2,1,4,9,31447
1777911381.8899462,216567908,2,0,10,21,79784
1777911381.8917818,216567908,2,1,10,21,39526
1777911381.9863255,216668288,2,0,4,9,74020
1777911381.9882069,216668288,2,1,4,8,31299
1777911381.9900026,216668288,2,0,10,21,79784
1777911381.9913173,216668288,2,1,10,21,39526
1777911382.087069,216769355,2,0,4,9,74020
1777911382.0895476,216769355,2,1,4,8,31299
1777911382.091465,216769355,2,0,10,21,79784
1777911382.0930204,216769355,2,1,10,21,39526
1777911382.1879408,216869910,2,0,4,9,74020
1777911382.1900768,216869910,2,1,4,8,31299
1777911382.1917458,216869910,2,0,10,21,79784
1777911382.1930296,216869910,2,1,10,21,39526
1777911382.289074,216971028,2,0,4,9,74020
1777911382.2906394,216971028,2,1,4,8,31299
1777911382.29204,216971028,2,0,10,21,79784
1777911382.2936034,216971028,2,1,10,21,39526
1777911382.3895254,217072072,2,0,4,9,74020
1777911382.3914247,217072072,2,1,4,8,31299
1777911382.392854,217072072,2,0,10,21,79784
