DBG,count0=0,count1=0,count2=0,count3=0
LH2,143355105,2,0,2,5,49742
LH2,143355105,2,0,3,7,71876
LH2,143355105,2,0,4,9,69928
LH2,143355105,2,1,4,9,27442
LH2,143355105,2,0,5,11,10884
LH2,143355105,2,1,5,11,10884
LH2,143355105,2,0,6,13,58297
LH2,143355105,2,0,10,21,76051
LH2,143355105,2,1,10,21,36645
LH2,143355105,2,0,12,24,5661
LH2,143355105,2,0,13,26,23388
LH2,143355105,2,1,13,26,23390
LH2,143355105,2,0,14,28,13697
DBG,count0=0,count1=0,count2=0,count3=0
LH2,143456330,2,0,2,5,49742
LH2,143456330,2,0,3,7,71876
LH2,143456330,2,0,4,9,69940
LH2,143456330,2,1,4,9,27443
LH2,143456330,2,0,5,11,10884
LH2,143456330,2,1,5,11,10884
LH2,143456330,2,0,6,13,58297
LH2,143456330,2,0,10,21,76054
LH2,143456330,2,1,10,21,36631
LH2,143456330,2,0,12,24,5661
LH2,143456330,2,0,13,26,23388
LH2,143456330,2,1,13,26,23390
LH2,143456330,2,0,14,28,13697
DBG,count0=0,count1=0,count2=0,count3=0
LH2,143557730,2,0,2,5,49742
LH2,143557730,2,0,3,7,71876
LH2,143557730,2,0,4,8,69936
LH2,143557730,2,1,4,8,27410
LH2,143557730,2,0,5,11,10884
LH2,143557730,2,1,5,11,10884
LH2,143557730,2,0,6,13,58297
LH2,143557730,2,0,10,21,76043
LH2,143557730,2,1,10,20,36600
LH2,143557730,2,0,12,24,5661
LH2,143557730,2,0,13,26,23388
LH2,143557730,2,1,13,26,23390
LH2,143557730,2,0,14,28,13697
DBG,count0=0,count1=0,count2=0,count3=0
LH2,143659317,2,0,2,5,49742
LH2,143659317,2,0,3,7,71876
LH2,143659317,2,0,4,9,69946
LH2,143659317,2,1,4,9,27405
LH2,143659317,2,0,5,11,10884
LH2,143659317,2,1,5,11,10884
LH2,143659317,2,0,6,13,58297
LH2,143659317,2,0,10,20,76058
LH2,143659317,2,1,10,20,36596
LH2,143659317,2,0,12,24,5661
LH2,143659317,2,0,13,26,23388
LH2,143659317,2,1,13,26,23390
LH2,143659317,2,0,14,28,13697
DBG,count0=0,count1=0,count2=0,count3=0
LH2,143760463,2,0,2,5,49742
LH2,143760463,2,0,3,7,71876
LH2,143760463,2,0,4,8,69950
LH2,143760463,2,1,4,8,27409
LH2,143760463,2,0,5,11,10884
LH2,143760463,2,1,5,11,10884
LH2,143760463,2,0,6,13,58297
LH2,143760463,2,0,10,20,76065
LH2,143760463,2,1,10,20,36600
LH2,143760463,2,0,12,24,5661
LH2,143760463,2,0,13,26,23388
LH2,143760463,2,1,13,26,23390
LH2,143760463,2,0,14,28,13697
DBG,count0=0,count1=0,count2=0,count3=0
LH2,143861589,2,0,2,5,49742
LH2,143861589,2,0,3,7,71876
LH2,143861589,2,0,4,9,69951
LH2,143861589,2,1,4,9,27409
LH2,143861589,2,0,5,11,10884
LH2,143861589,2,1,5,11,10884
LH2,143861589,2,0,6,13,58297
LH2,143861589,2,0,10,20,76066
LH2,143861589,2,1,10,20,36603
LH2,143861589,2,0,12,24,5661
LH2,143861589,2,0,13,26,23388
LH2,143861589,2,1,13,26,23390
