pc_time_s,time_us,sensor,sweep,basestation,polynomial,lfsr_location
1778149547.0191271,215905122,3,1,4,8,40352
1778149547.0199091,215905122,3,0,8,16,64933
1778149547.0207045,215905122,3,0,10,21,37982
1778149547.0215015,215905122,3,1,10,20,73225
1778149547.0222666,216006805,0,0,1,3,32752
1778149547.100347,216006805,0,0,4,9,41233
1778149547.1012897,216006805,0,1,4,8,77080
1778149547.102093,216006805,0,0,10,21,38721
1778149547.1029243,216006805,0,1,10,21,74180
1778149547.1038065,216006805,1,0,0,1,5614
1778149547.1045442,216006805,1,0,4,9,41400
1778149547.105294,216006805,1,1,4,9,76883
1778149547.1060812,216006805,1,0,10,20,39213
1778149547.106935,216006805,1,1,10,21,74388
1778149547.107761,216006805,1,0,11,22,32015
1778149547.1085289,216006805,2,0,4,9,75925
1778149547.1093712,216006805,2,1,4,9,40495
1778149547.1101642,216006805,2,0,10,21,73474
1778149547.1109867,216006805,2,1,10,21,38520
1778149547.111786,216006805,3,0,4,9,76135
1778149547.112946,216006805,3,1,4,9,40347
1778149547.113715,216006805,3,0,8,16,64933
1778149547.114514,216006805,3,0,10,21,37982
1778149547.1153183,216006805,3,1,10,20,73225
1778149547.1161234,216109929,0,0,1,3,32752
1778149547.203648,216109929,0,0,4,9,41238
1778149547.205051,216109929,0,1,4,9,77070
1778149547.2065113,216109929,0,0,10,21,38729
1778149547.2080276,216109929,0,1,10,21,74177
1778149547.2095156,216109929,1,0,0,1,5614
1778149547.210908,216109929,1,0,4,9,41411
1778149547.212377,216109929,1,1,4,9,76872
1778149547.2137415,216109929,1,0,10,21,39228
1778149547.215244,216109929,1,1,10,21,74388
1778149547.2167263,216109929,1,0,11,22,32015
1778149547.2182717,216109929,2,0,4,8,75909
1778149547.219694,216109929,2,1,4,9,40493
1778149547.2211137,216109929,2,0,10,20,73469
1778149547.2225783,216109929,2,1,10,20,38528
1778149547.2241385,216109929,3,0,4,9,76128
1778149547.225285,216109929,3,1,4,9,40352
1778149547.2264323,216109929,3,0,8,16,64933
1778149547.2276165,216109929,3,0,10,21,37982
1778149547.2288606,216109929,3,1,10,20,73225
1778149547.230127,216211917,0,0,1,3,32752
1778149547.3058455,216211917,0,0,4,8,41237
1778149547.3073094,216211917,0,1,4,8,77056
1778149547.3086932,216211917,0,0,10,20,38740
1778149547.310346,216211917,0,1,10,20,74176
1778149547.3119419,216211917,1,0,0,1,5614
1778149547.3134937,216211917,1,0,4,8,41420
1778149547.3151643,216211917,1,1,4,8,76857
1778149547.3168712,216211917,1,0,10,21,39240
1778149547.3177626,216211917,1,1,10,20,74389
1778149547.3187015,216211917,1,0,11,22,32015
1778149547.3195515,216211917,2,0,4,8,75902
1778149547.3203428,216211917,2,1,4,8,40511
1778149547.3211267,216211917,2,0,10,20,73471
1778149547.3222752,216211917,2,1,10,21,38551
1778149547.3231492,216211917,3,0,4,8,76113
1778149547.323892,216211917,3,1,4,8,40349
1778149547.3246481,216211917,3,0,8,16,64933
1778149547.325439,216211917,3,0,10,20,38069
1778149547.3261995,216211917,3,1,10,20,73225
1778149547.3270786,216313559,0,0,1,3,32752
1778149547.407041,216313559,0,0,4,8,41239
1778149547.4086654,216313559,0,1,4,8,77034
1778149547.4101791,216313559,0,0,10,20,38754
1778149547.4120035,216313559,0,1,10,20,74172
1778149547.413399,216313559,1,0,0,1,5614
1778149547.4143522,216313559,1,0,4,8,41404
1778149547.4151793,216313559,1,1,4,8,76820
1778149547.4160147,216313559,1,0,10,20,39255
1778149547.4170473,216313559,1,1,10,20,74373
1778149547.4180405,216313559,1,0,11,22,32015
1778149547.4189296,216313559,2,0,4,8,75867
1778149547.4197822,216313559,2,1,4,8,40493
1778149547.4205794,216313559,2,0,10,21,73470
1778149547.421424,216313559,2,1,10,20,38552
1778149547.4223628,216313559,3,0,4,8,76095
1778149547.4231315,216313559,3,1,4,8,40345
1778149547.4239678,216313559,3,0,8,16,64933
1778149547.4248269,216313559,3,0,10,21,38076
1778149547.425802,216313559,3,1,10,20,73225
1778149547.4271433,216416105,0,0,1,3,32752
1778149547.509298,216416105,0,0,4,8,41236
1778149547.510066,216416105,0,1,4,8,77020
1778149547.5108206,216416105,0,0,10,21,38762
1778149547.5115774,216416105,0,1,10,21,74166
1778149547.5122383,216416105,1,0,0,1,5614
1778149547.5126588,216416105,1,0,4,9,41405
1778149547.5130918,216416105,1,1,4,8,76804
1778149547.5135179,216416105,1,0,10,21,39261
1778149547.5139432,216416105,1,1,10,21,74365
1778149547.5144567,216416105,1,0,11,22,32015
1778149547.5151694,216416105,2,0,4,9,75847
1778149547.5159116,216416105,2,1,4,9,40488
1778149547.5164702,216416105,2,0,10,21,73442
1778149547.516907,216416105,2,1,10,21,38555
1778149547.5174167,216416105,3,0,4,8,76079
1778149547.5178168,216416105,3,1,4,9,40338
1778149547.5182323,216416105,3,0,8,16,64933
1778149547.518643,216416105,3,0,10,21,38086
1778149547.5190713,216416105,3,1,10,20,73225
1778149547.5195162,216519322,0,0,1,3,32752
1778149547.6130574,216519322,0,0,4,9,41220
1778149547.613964,216519322,0,1,4,8,77004
1778149547.6147401,216519322,0,0,10,20,38761
1778149547.6156118,216519322,0,1,10,20,74161
1778149547.6165473,216519322,1,0,0,1,5614
