time_s,sensor,sweep,basestation,polynomial,lfsr_location
1777473124.8468428,2,1,4,9,87220
1777473124.8511863,2,1,10,21,61609
1777473124.9285557,2,0,4,8,49408
1777473124.9317214,2,0,10,21,25605
1777473124.93562,2,1,4,8,87222
1777473124.9374156,2,1,10,21,62131
1777473125.0375428,2,0,4,8,87227
1777473125.0433505,2,0,10,20,25296
1777473125.0494351,2,1,4,8,87685
1777473125.052427,2,1,10,20,62120
1777473125.1435397,2,0,4,8,49387
1777473125.1487415,2,0,10,20,25602
1777473125.1550817,2,1,4,8,87684
1777473125.1591668,2,1,10,20,62127
1777473125.2442427,2,0,4,9,49743
1777473125.2500582,2,0,10,20,25292
1777473125.2567282,2,1,4,8,87691
1777473125.260687,2,1,10,20,62123
1777473125.346629,2,0,4,9,87692
1777473125.349897,2,0,10,20,25599
1777473125.3548386,2,1,4,9,49741
1777473125.3576736,2,1,10,20,61602
1777473125.4491858,2,0,4,9,87222
1777473125.4523625,2,0,10,20,25600
1777473125.4565592,2,1,4,8,49389
1777473125.4588578,2,1,10,21,62126
1777473125.5485504,2,0,4,8,49411
1777473125.5514383,2,0,10,20,25596
1777473125.5551639,2,1,4,8,87697
1777473125.558375,2,1,10,20,61601
1777473125.651218,2,0,4,9,49748
1777473125.6549196,2,0,10,20,25596
1777473125.6600692,2,1,4,8,87692
1777473125.661978,2,1,10,20,62118
1777473125.7581367,2,0,4,8,49746
1777473125.7613053,2,0,10,20,25286
1777473125.7645175,2,1,4,8,87694
1777473125.7663634,2,1,10,20,62114
1777473125.864198,2,0,4,8,49747
1777473125.8680491,2,0,10,20,25595
1777473125.8715475,2,1,4,8,87229
1777473125.8737676,2,1,10,21,62118
1777473125.966754,2,0,4,9,87694
1777473125.9701293,2,0,10,20,25285
1777473125.975453,2,1,4,9,49415
1777473125.9782364,2,1,10,20,62114
1777473126.0681427,2,0,4,8,87229
1777473126.0721033,2,0,10,21,25584
1777473126.0774503,2,1,4,8,49415
1777473126.0794904,2,1,10,20,61600
