time_s,sensor,sweep,basestation,polynomial,lfsr_location
1777473102.8260922,2,1,4,9,52196
1777473102.8293138,2,1,10,21,59803
1777473102.9203746,2,0,4,9,90002
1777473102.9282799,2,0,10,21,23456
1777473102.934411,2,1,4,8,52618
1777473102.9376466,2,1,10,20,59803
1777473103.0234814,2,0,4,9,90550
1777473103.0294795,2,0,10,20,23116
1777473103.0357547,2,1,4,9,52617
1777473103.0383132,2,1,10,20,59804
1777473103.129918,2,0,4,9,90001
1777473103.1351457,2,0,10,21,23114
1777473103.1419604,2,1,4,9,52618
1777473103.1457095,2,1,10,21,59803
1777473103.2289493,2,0,4,8,90549
1777473103.2340264,2,0,10,21,23458
1777473103.2413497,2,1,4,8,52615
1777473103.2449484,2,1,10,20,59802
1777473103.3337905,2,0,4,8,90552
1777473103.3384867,2,0,10,21,23456
1777473103.3458843,2,1,4,9,52200
1777473103.3490708,2,1,10,21,59802
1777473103.4329972,2,0,4,8,90551
1777473103.4391873,2,0,10,20,23461
1777473103.4454665,2,1,4,8,52196
1777473103.4482408,2,1,10,20,59800
1777473103.5383663,2,0,4,9,90002
1777473103.5438852,2,0,10,21,23458
1777473103.550002,2,1,4,9,52618
1777473103.5528843,2,1,10,21,59802
1777473103.6405313,2,0,4,9,90550
1777473103.645422,2,0,10,21,23111
1777473103.6514795,2,1,4,9,52617
1777473103.6542861,2,1,10,21,59802
1777473103.7455392,2,0,4,8,90553
1777473103.7502177,2,0,10,21,23454
1777473103.757558,2,1,4,9,52620
1777473103.7612724,2,1,10,21,59236
1777473103.8468099,2,0,4,9,90553
1777473103.851116,2,0,10,21,23458
1777473103.8564155,2,1,4,9,52621
1777473103.8581748,2,1,10,21,59802
1777473103.9509292,2,0,4,8,90552
1777473103.9566717,2,0,10,21,23454
1777473103.9641225,2,1,4,8,52197
1777473103.9672937,2,1,10,20,59800
1777473104.0552192,2,0,4,9,90552
1777473104.0610187,2,0,10,21,23456
1777473104.0676732,2,1,4,9,52201
1777473104.0711467,2,1,10,21,59235
1777473104.1587062,2,0,4,8,90553
1777473104.1638374,2,0,10,20,23113
1777473104.1696594,2,1,4,8,52625
1777473104.1734955,2,1,10,21,59802
1777473104.2619195,2,0,4,9,90553
1777473104.2678044,2,0,10,21,23456
1777473104.2760756,2,1,4,9,52620
1777473104.2794871,2,1,10,20,59799
1777473104.3632827,2,0,4,9,90551
1777473104.3685505,2,0,10,20,23111
1777473104.3755462,2,1,4,9,52618
1777473104.378495,2,1,10,20,59799
1777473104.4695199,2,0,4,9,90550
1777473104.4749947,2,0,10,21,23111
1777473104.4807394,2,1,4,9,52617
1777473104.484367,2,1,10,21,59800
1777473104.5708025,2,0,4,9,90553
1777473104.5786622,2,0,10,21,23456
1777473104.5866876,2,1,4,8,52197
1777473104.5913436,2,1,10,21,59801
1777473104.6789582,2,0,4,9,90552
1777473104.6840804,2,0,10,20,23463
1777473104.689366,2,1,4,9,52204
1777473104.6923168,2,1,10,20,59799
1777473104.7774282,2,0,4,8,90552
1777473104.7826245,2,0,10,21,23454
1777473104.7894883,2,1,4,8,52625
1777473104.7927172,2,1,10,21,59236
1777473104.879751,2,0,4,8,90553
1777473104.8868594,2,0,10,20,23111
1777473104.8919752,2,1,4,8,52621
1777473104.8943844,2,1,10,20,59799
1777473104.9771636,2,0,4,8,90553
1777473104.9803824,2,0,10,21,23110
1777473104.983354,2,1,4,8,52625
1777473104.9847634,2,1,10,20,59798
1777473105.088552,2,0,4,8,90552
1777473105.0946395,2,0,10,20,23464
1777473105.1007354,2,1,4,8,52195
1777473105.1037238,2,1,10,20,59802
1777473105.1884859,2,0,4,9,90545
1777473105.1937306,2,0,10,21,23121
1777473105.1999133,2,1,4,9,52616
1777473105.2029068,2,1,10,21,59813
1777473105.294765,2,0,4,8,90551
1777473105.2991438,2,0,10,20,23114
