time_s,sensor,sweep,basestation,polynomial,lfsr_location
1777473073.0399845,2,0,10,21,56181
1777473073.04652,2,1,4,8,93564
1777473073.049697,2,1,10,21,19999
1777473073.1406858,2,0,4,9,55699
1777473073.1459792,2,0,10,21,56182
1777473073.1506622,2,1,4,9,93552
1777473073.1535103,2,1,10,21,19999
1777473073.235269,2,0,4,9,55699
1777473073.2394524,2,0,10,20,56183
1777473073.242358,2,1,4,9,93552
1777473073.2441788,2,1,10,20,20006
1777473073.3432815,2,0,4,8,55204
1777473073.347883,2,0,10,20,56182
1777473073.353739,2,1,4,8,92969
1777473073.357336,2,1,10,20,20004
1777473073.4453602,2,0,4,8,55203
1777473073.4500685,2,0,10,20,56182
1777473073.457482,2,1,4,8,93562
1777473073.4605098,2,1,10,21,20000
1777473073.5522778,2,0,4,8,55704
1777473073.5587196,2,0,10,21,56182
1777473073.5652504,2,1,4,8,92969
1777473073.5680072,2,1,10,21,20000
1777473073.6566064,2,0,4,9,55203
1777473073.661619,2,0,10,21,56182
1777473073.667765,2,1,4,8,93562
1777473073.6707635,2,1,10,20,20004
1777473073.7518713,2,0,4,9,55702
1777473073.7561433,2,0,10,20,56183
1777473073.7604785,2,1,4,8,92969
1777473073.762012,2,1,10,20,20004
1777473073.8523252,2,0,4,9,55202
1777473073.8554454,2,0,10,21,56181
1777473073.859325,2,1,4,8,93569
1777473073.860907,2,1,10,21,19999
1777473073.9660416,2,0,4,9,55700
1777473073.9712656,2,0,10,21,56181
1777473073.9775493,2,1,4,9,92975
1777473073.9804404,2,1,10,21,19999
1777473074.066634,2,0,4,8,55708
1777473074.0723124,2,0,10,20,55525
1777473074.0787897,2,1,4,8,92971
1777473074.0819213,2,1,10,20,20004
1777473074.1709254,2,0,4,8,55708
1777473074.176206,2,0,10,20,56181
1777473074.1824694,2,1,4,8,93560
1777473074.185531,2,1,10,20,19612
1777473074.2733078,2,0,4,8,55204
1777473074.279444,2,0,10,20,56182
1777473074.2855546,2,1,4,8,93569
1777473074.2896123,2,1,10,20,19611
1777473074.3769336,2,0,4,8,55709
1777473074.3816555,2,0,10,20,56181
1777473074.387775,2,1,4,8,93569
1777473074.3921564,2,1,10,21,19999
1777473074.4760087,2,0,4,9,55700
1777473074.4809206,2,0,10,21,56181
1777473074.486654,2,1,4,9,93568
1777473074.491004,2,1,10,20,19612
1777473074.5818205,2,0,4,9,55700
1777473074.5861473,2,0,10,20,55528
1777473074.5936806,2,1,4,9,93552
1777473074.5969155,2,1,10,20,19998
1777473074.6867702,2,0,4,8,55708
1777473074.69205,2,0,10,20,56181
1777473074.6987014,2,1,4,8,93573
1777473074.70177,2,1,10,21,19610
1777473074.7890222,2,0,4,8,55706
1777473074.7937386,2,0,10,20,56181
1777473074.8021545,2,1,4,8,93561
1777473074.807967,2,1,10,21,19611
1777473074.8911223,2,0,4,9,55703
1777473074.896709,2,0,10,20,56181
1777473074.9024613,2,1,4,9,92948
1777473074.906517,2,1,10,20,19998
1777473074.9923766,2,0,4,9,55699
1777473074.9975913,2,0,10,20,56179
1777473075.0044725,2,1,4,9,93552
1777473075.0091422,2,1,10,20,19998
1777473075.096683,2,0,4,8,55705
1777473075.1016717,2,0,10,21,56180
1777473075.108237,2,1,4,8,93552
1777473075.1117363,2,1,10,21,19998
1777473075.2021768,2,0,4,9,55201
1777473075.207777,2,0,10,20,56179
1777473075.2144978,2,1,4,9,93551
1777473075.2174206,2,1,10,20,19998
1777473075.301305,2,0,4,9,55204
1777473075.3069103,2,0,10,20,56182
1777473075.3133178,2,1,4,9,93552
1777473075.3162923,2,1,10,20,20004
1777473075.398865,2,0,4,9,55701
1777473075.40113,2,0,10,21,56178
1777473075.405211,2,1,4,9,93552
1777473075.4076688,2,1,10,20,19998
1777473075.5106971,2,0,4,8,55708
1777473075.51573,2,0,10,21,56181
1777473075.5214126,2,1,4,8,92970
1777473075.525784,2,1,10,20,19611
1777473075.6113448,2,0,4,8,55192
1777473075.616647,2,0,10,20,56182
1777473075.623461,2,1,4,9,93552
1777473075.626775,2,1,10,21,19999
1777473075.7127244,2,0,4,8,55705
1777473075.7171767,2,0,10,20,55525
1777473075.7245345,2,1,4,8,93560
1777473075.7276247,2,1,10,20,19997
1777473075.8163478,2,0,4,9,55699
1777473075.820337,2,0,10,20,56181
1777473075.8251922,2,1,4,9,92974
1777473075.8271549,2,1,10,20,19610
1777473075.9114978,2,0,4,8,55708
1777473075.9142706,2,0,10,20,56181
1777473075.9169366,2,1,4,8,93569
1777473075.9181957,2,1,10,20,19998
1777473076.0225778,2,0,4,9,55204
1777473076.027481,2,0,10,20,56181
