time_s,sensor,sweep,basestation,polynomial,lfsr_location
1777473024.1301138,2,1,4,8,90503
1777473024.131546,2,1,10,21,23540
1777473024.229629,2,0,4,9,52147
1777473024.2354739,2,0,10,21,59891
1777473024.2434685,2,1,4,9,90499
1777473024.2467635,2,1,10,20,23542
1777473024.3356469,2,0,4,9,52567
1777473024.3403444,2,0,10,21,59890
1777473024.34564,2,1,4,9,90499
1777473024.3476617,2,1,10,21,23538
1777473024.4375708,2,0,4,9,52566
1777473024.4423366,2,0,10,20,59891
1777473024.4476347,2,1,4,9,90499
1777473024.4496198,2,1,10,21,23538
1777473024.5427232,2,0,4,8,52567
1777473024.5473897,2,0,10,21,59892
1777473024.552783,2,1,4,9,90500
1777473024.5555513,2,1,10,21,23538
1777473024.6444812,2,0,4,8,52569
1777473024.6495557,2,0,10,21,59891
1777473024.6555972,2,1,4,8,90497
1777473024.658106,2,1,10,21,23200
1777473024.747578,2,0,4,8,52568
1777473024.753091,2,0,10,21,59892
1777473024.76034,2,1,4,8,90503
1777473024.7627177,2,1,10,20,23203
1777473024.8533762,2,0,4,9,52567
1777473024.8585105,2,0,10,20,59892
1777473024.864234,2,1,4,9,90020
1777473024.8667407,2,1,10,20,23543
1777473024.9540157,2,0,4,9,52566
1777473024.9593658,2,0,10,20,59892
1777473024.9655094,2,1,4,9,90499
1777473024.9689107,2,1,10,20,23543
1777473025.0545847,2,0,4,9,52568
1777473025.0600858,2,0,10,20,59892
1777473025.0656536,2,1,4,9,90499
1777473025.0683224,2,1,10,20,23201
1777473025.1581345,2,0,4,9,52566
1777473025.1630547,2,0,10,21,59892
1777473025.1687837,2,1,4,9,90498
1777473025.1720417,2,1,10,21,23201
1777473025.2613375,2,0,4,8,52566
1777473025.2663853,2,0,10,20,59892
1777473025.2727785,2,1,4,8,90498
1777473025.27527,2,1,10,20,23202
1777473025.3638346,2,0,4,8,52146
1777473025.3683152,2,0,10,21,59891
1777473025.3759222,2,1,4,8,90496
1777473025.3783412,2,1,10,21,23538
1777473025.4673495,2,0,4,8,52569
1777473025.475217,2,0,10,21,59892
1777473025.4811666,2,1,4,9,90499
1777473025.4836786,2,1,10,21,23538
1777473025.5748472,2,0,4,9,52148
1777473025.5795898,2,0,10,21,59892
1777473025.585508,2,1,4,9,90498
1777473025.5888534,2,1,10,20,23201
1777473025.6761675,2,0,4,9,52568
1777473025.6814663,2,0,10,21,59892
1777473025.6868014,2,1,4,9,90499
1777473025.6900606,2,1,10,21,23200
1777473025.7821012,2,0,4,8,52571
1777473025.786922,2,0,10,21,59891
1777473025.7930152,2,1,4,8,90498
1777473025.7954166,2,1,10,21,23538
1777473025.8790774,2,0,4,9,52566
1777473025.8828378,2,0,10,21,59890
1777473025.886917,2,1,4,8,90497
