time_s,sensor,sweep,basestation,polynomial,lfsr_location
1777473003.7715347,2,1,4,9,86457
1777473003.7743578,2,1,10,20,57121
1777473003.8624055,2,0,4,9,48966
1777473003.8675098,2,0,10,21,21109
1777473003.8748703,2,1,4,9,87070
1777473003.8773956,2,1,10,21,57590
1777473003.9671764,2,0,4,8,48970
1777473003.9739256,2,0,10,21,20803
1777473003.9808607,2,1,4,9,87070
1777473003.9829566,2,1,10,21,57126
1777473004.0684726,2,0,4,9,49435
1777473004.0753782,2,0,10,20,20803
1777473004.084139,2,1,4,9,87069
1777473004.0887103,2,1,10,20,57591
1777473004.182358,2,0,4,8,48968
1777473004.1887174,2,0,10,20,21110
1777473004.1975467,2,1,4,8,86467
1777473004.200805,2,1,10,20,57123
1777473004.2769918,2,0,4,8,49439
1777473004.2849014,2,0,10,20,20802
1777473004.292873,2,1,4,8,86477
1777473004.2949193,2,1,10,20,57122
1777473004.3824966,2,0,4,8,87067
1777473004.3904335,2,0,10,20,20803
1777473004.3998249,2,1,4,8,48970
1777473004.4023252,2,1,10,21,57125
1777473004.4841585,2,0,4,8,87067
1777473004.4911914,2,0,10,20,20801
1777473004.498295,2,1,4,8,48970
1777473004.5004241,2,1,10,20,57122
1777473004.585574,2,0,4,9,86458
1777473004.5924633,2,0,10,21,21110
1777473004.6145225,2,1,4,9,48966
1777473004.616912,2,1,10,21,57591
1777473004.6824827,2,0,4,9,87067
1777473004.6894853,2,0,10,21,20803
1777473004.6965084,2,1,4,9,49435
1777473004.6999419,2,1,10,21,57590
1777473004.7883859,2,0,4,8,87064
1777473004.7925289,2,0,10,21,20803
1777473004.7983296,2,1,4,8,48966
1777473004.7998118,2,1,10,21,57591
1777473004.895362,2,0,4,8,87067
1777473004.8999178,2,0,10,21,21111
1777473004.907265,2,1,4,8,48970
1777473004.9087636,2,1,10,21,57592
1777473004.997522,2,0,4,8,86477
1777473005.0032713,2,0,10,21,21110
1777473005.0107303,2,1,4,9,49437
1777473005.0126946,2,1,10,20,57590
1777473005.0984907,2,0,4,8,86467
1777473005.103319,2,0,10,20,21108
1777473005.1108904,2,1,4,9,49435
1777473005.112525,2,1,10,20,57590
1777473005.2058682,2,0,4,9,87069
1777473005.2114224,2,0,10,21,20802
1777473005.2186334,2,1,4,9,49434
1777473005.2207735,2,1,10,21,57591
1777473005.3050687,2,0,4,9,87069
1777473005.310525,2,0,10,20,21110
1777473005.3166945,2,1,4,9,48966
1777473005.3183486,2,1,10,20,57123
1777473005.3979962,2,0,4,8,87067
1777473005.4039686,2,0,10,20,21110
1777473005.4114926,2,1,4,9,49435
1777473005.4129848,2,1,10,20,57590
1777473005.5257702,2,0,4,9,87070
1777473005.5346868,2,0,10,20,21110
1777473005.5452943,2,1,4,8,49440
1777473005.548673,2,1,10,20,57589
1777473005.605093,2,0,4,9,87070
1777473005.6134176,2,0,10,21,21110
1777473005.6188602,2,1,4,8,48970
1777473005.6204948,2,1,10,20,57589
1777473005.7083564,2,0,4,8,48967
1777473005.7133083,2,0,10,21,20802
1777473005.719019,2,1,4,8,86476
1777473005.720852,2,1,10,21,57590
1777473005.813868,2,0,4,8,48970
1777473005.8194268,2,0,10,20,20803
1777473005.826513,2,1,4,8,87065
1777473005.8288403,2,1,10,21,57591
1777473005.9153955,2,0,4,8,48970
1777473005.9204755,2,0,10,20,21108
1777473005.9276989,2,1,4,9,87067
